19/04/2007,7978.589844,7991.689941,7883.919922,7888.629883,7888.599609,4428800
20/04/2007,7915.910156,7945.700195,7912.490234,7942.669922,7942.639648,3683600
23/04/2007,8009.549805,8062.700195,8006.419922,8010.459961,8010.429199,4000600
24/04/2007,8011.810059,8051.669922,7998.220215,8045.009766,8044.979004,4030600
25/04/2007,8035.740234,8041.27002,7984.649902,7984.649902,7984.619141,3929400
26/04/2007,8046.720215,8052.549805,8000.040039,8000.040039,8000.009277,3566400
27/04/2007,8019.490234,8026.509766,7949.419922,7949.419922,7949.389648,3479200
30/04/2007,7956.029785,7956.029785,7843.049805,7875.419922,7875.390137,3466400
02/05/2007,7900.759766,7951.689941,7890.540039,7903.040039,7903.009766,3193200
03/05/2007,7954.160156,7965.930176,7861.430176,7926.660156,7926.629883,4287600
04/05/2007,7990.970215,8066.060059,7990.970215,8066.060059,8066.029297,3767600
07/05/2007,8122.200195,8132.799805,8095.040039,8115.27002,8115.239258,3750000
08/05/2007,8111.509766,8113.310059,8083.180176,8095.839844,8095.809082,2965800
09/05/2007,8092.100098,8093.509766,8043.459961,8052.700195,8052.669434,2886200
10/05/2007,8094.720215,8105.089844,8071.5,8096.859863,8096.829102,3357000
11/05/2007,8026.359863,8049.5,8018.640137,8031.540039,8031.509277,2934200
14/05/2007,8072.149902,8072.149902,8013.830078,8030.560059,8030.529297,2857600
15/05/2007,8022.580078,8041.549805,7968.919922,7975.029785,7974.999512,2612000
16/05/2007,7988.970215,8014.879883,7978.25,7988.569824,7988.539063,2492000
17/05/2007,8029.600098,8080.629883,8029.600098,8037.959961,8037.929199,3142400
18/05/2007,8066.009766,8075.209961,8013.890137,8034.140137,8034.109375,2836000
21/05/2007,8067.22998,8159.259766,8043.899902,8141.589844,8141.559082,3614200
22/05/2007,8158.990234,8205.889648,8158.290039,8188.629883,8188.599121,4077400
23/05/2007,8232.530273,8256.25,8214.580078,8221.790039,8221.757813,3983000
24/05/2007,8231.650391,8249.480469,8207.959961,8216.410156,8216.37793,3395800
25/05/2007,8170.580078,8170.580078,8130.169922,8159.970215,8159.939453,3235600
28/05/2007,8194.830078,8201.650391,8154.220215,8156.819824,8156.789063,2887600
29/05/2007,8178.700195,8229.44043,8166.459961,8181.490234,8181.459473,3047000
30/05/2007,8163.810059,8177.759766,8110.279785,8147.339844,8147.309082,3248600
31/05/2007,8204.719727,8220.80957,8144.950195,8144.950195,8144.919434,4230600
01/06/2007,8236.759766,8261.669922,8224.280273,8249.900391,8249.868164,4198400
04/06/2007,8310.089844,8317.599609,8282.790039,8294.790039,8294.757813,4053200
05/06/2007,8321.419922,8321.419922,8267.589844,8303.990234,8303.958008,4299400
06/06/2007,8330.719727,8376.969727,8313.589844,8314.679688,8314.647461,4775800
07/06/2007,8298.969727,8368.55957,8263.610352,8355.259766,8355.227539,3844000
08/06/2007,8288.259766,8308.450195,8279.959961,8300.709961,8300.677734,4241600
11/06/2007,8351.030273,8359.75,8328.610352,8338.879883,8338.847656,4133600
12/06/2007,8371.700195,8396.219727,8345.009766,8370.259766,8370.227539,4774400
13/06/2007,8388.490234,8388.490234,8336.530273,8346.389648,8346.357422,4398600
14/06/2007,8421.209961,8476.129883,8409,8450.719727,8450.6875,4853400
15/06/2007,8519.379883,8578.330078,8511.070313,8573.639648,8573.607422,5280000
20/06/2007,8651.259766,8761.879883,8636.469727,8755.879883,8755.847656,6320400
21/06/2007,8789.089844,8871.719727,8722.150391,8851.990234,8851.958008,5581200
22/06/2007,8879.990234,8884.030273,8799.290039,8846.389648,8846.357422,5979200
25/06/2007,8882.299805,8985.929688,8882.299805,8939.19043,8939.157227,6503800
26/06/2007,8965.820313,8983.959961,8856.290039,8865.75,8865.717773,5709600
27/06/2007,8862.290039,8887.879883,8820.679688,8844.219727,8844.1875,5225800
28/06/2007,8914.69043,8914.69043,8841.959961,8892.830078,8892.796875,5698600
29/06/2007,8932.179688,8932.950195,8849.040039,8883.209961,8883.176758,5464800
02/07/2007,8903.769531,8939.490234,8849.349609,8939.490234,8939.457031,5468400
03/07/2007,8983.240234,9019.929688,8977.089844,8996.200195,8996.166992,6580400
04/07/2007,9069.320313,9112.740234,9034.5,9068.980469,9068.946289,7220200
05/07/2007,9114.05957,9148.780273,9086.19043,9148.780273,9148.746094,7038200
06/07/2007,9169.55957,9199.660156,9118.259766,9188.30957,9188.275391,7483000
09/07/2007,9246.44043,9369.839844,9239.200195,9369.839844,9369.805664,8013400
10/07/2007,9404.759766,9404.759766,9306.620117,9384.730469,9384.696289,7632600
11/07/2007,9322.69043,9341.320313,9263.259766,9290.950195,9290.916016,8176800
12/07/2007,9346.950195,9400.370117,9316.910156,9354.410156,9354.375977,8373600
13/07/2007,9530.719727,9540.349609,9411.040039,9471.299805,9471.264648,8507000
16/07/2007,9514.089844,9539.200195,9403.730469,9417.320313,9417.286133,8678600
17/07/2007,9444.870117,9513.950195,9337.669922,9509.730469,9509.695313,7041800
18/07/2007,9512.389648,9574.69043,9482.549805,9485.349609,9485.314453,9296000
19/07/2007,9449.719727,9529.349609,9441.790039,9473.30957,9473.274414,8738400
20/07/2007,9537.240234,9585.900391,9487.950195,9585.900391,9585.864258,7902400
23/07/2007,9576.05957,9637.179688,9563.719727,9621.570313,9621.53418,7442400
24/07/2007,9674.240234,9745.320313,9643.269531,9744.05957,9744.022461,9247000
25/07/2007,9683.969727,9763.259766,9656.040039,9740.129883,9740.092773,8173600
26/07/2007,9793.759766,9807.910156,9566.419922,9566.419922,9566.383789,10397800
27/07/2007,9244.620117,9376.950195,9162.280273,9162.280273,9162.246094,9371200
30/07/2007,9037.349609,9136.450195,8996.80957,9072.570313,9072.536133,7294800
31/07/2007,9211.799805,9307.80957,9173.480469,9287.25,9287.21582,7159400
01/08/2007,9188.599609,9265.700195,8891.879883,8891.879883,8891.84668,8423400
02/08/2007,9076.110352,9080.070313,8727.639648,8950.570313,8950.537109,7133200
03/08/2007,9104.339844,9134.599609,9025.700195,9057.820313,9057.786133,5842800
06/08/2007,8865.580078,8960.75,8856.910156,8941.730469,8941.697266,4639600
07/08/2007,9068.040039,9068.830078,8862.30957,8862.30957,8862.277344,4858800
08/08/2007,8961.120117,9099.459961,8938.540039,9099.459961,9099.425781,4875000
