content_function,content_pronoun,content_ppron,content_i,content_we,content_you,content_shehe,content_they,content_youpl,content_ipron,content_prep,content_auxverb,content_adverb,content_conj,content_negate,content_quanunit,content_prepend,content_specart,content_particle,content_modal_pa,content_general_pa,content_compare,content_interrog,content_number,content_quant,content_affect,content_posemo,content_negemo,content_anx,content_anger,content_sad,content_social,content_family,content_friend,content_female,content_male,content_cogproc,content_insight,content_cause,content_discrep,content_tentat,content_certain,content_differ,content_percept,content_see,content_hear,content_feel,content_bio,content_body,content_health,content_sexual,content_ingest,content_drives,content_affiliation,content_achieve,content_power,content_reward,content_risk,content_tensem,content_focuspast,content_focuspresent,content_focusfuture,content_progm,content_relativ,content_motion,content_space,content_time,content_work,content_leisure,content_home,content_money,content_relig,content_death,content_informal,content_swear,content_netspeak,content_assent,content_nonflu,content_filler,message_function,message_pronoun,message_ppron,message_i,message_we,message_you,message_shehe,message_they,message_youpl,message_ipron,message_prep,message_auxverb,message_adverb,message_conj,message_negate,message_quanunit,message_prepend,message_specart,message_particle,message_modal_pa,message_general_pa,message_compare,message_interrog,message_number,message_quant,message_affect,message_posemo,message_negemo,message_anx,message_anger,message_sad,message_social,message_family,message_friend,message_female,message_male,message_cogproc,message_insight,message_cause,message_discrep,message_tentat,message_certain,message_differ,message_percept,message_see,message_hear,message_feel,message_bio,message_body,message_health,message_sexual,message_ingest,message_drives,message_affiliation,message_achieve,message_power,message_reward,message_risk,message_tensem,message_focuspast,message_focuspresent,message_focusfuture,message_progm,message_relativ,message_motion,message_space,message_time,message_work,message_leisure,message_home,message_money,message_relig,message_death,message_informal,message_swear,message_netspeak,message_assent,message_nonflu,message_filler
功能詞,代名詞,特定人稱代名詞,第一人稱單數代名詞,第一人稱複數代名詞,第二人稱代名詞,第三人稱單數代名詞,第三人稱複數代名詞,第二人稱複數代名詞,非特定人稱代名詞,介係詞,助動詞,副詞,連接詞,否定詞,量詞,後置詞,特指定詞,語助詞,情態語助詞,一般語助詞,比較詞,疑問詞,數字,概數詞,情感歷程詞,正向情緒詞,負向情緒詞,焦慮詞,生氣詞,悲傷詞,社會歷程詞,家族詞,朋友詞,女性詞,男性詞,認知歷程詞,洞察詞,因果詞,差距詞,暫訂詞,確切詞,差異詞,感知歷程詞,視覺詞,聽覺詞,感覺詞,生理歷程詞,身體詞,健康詞,性詞,攝食詞,相對詞,聯繫詞,成就詞,權力詞,酬賞詞,風險詞,時態標定詞,聚焦過去詞,聚焦現在詞,聚焦未來詞,持續或完成式,相對詞,移動詞,空間詞,時間詞,工作詞,休閒詞,家庭詞,金錢詞,宗教詞,死亡詞,非正式詞,髒話,網路用詞,應和詞,停頓贅詞,填充贅詞,功能詞,代名詞,特定人稱代名詞,第一人稱單數代名詞,第一人稱複數代名詞,第二人稱代名詞,第三人稱單數代名詞,第三人稱複數代名詞,第二人稱複數代名詞,非特定人稱代名詞,介係詞,助動詞,副詞,連接詞,否定詞,量詞,後置詞,特指定詞,語助詞,情態語助詞,一般語助詞,比較詞,疑問詞,數字,概數詞,情感歷程詞,正向情緒詞,負向情緒詞,焦慮詞,生氣詞,悲傷詞,社會歷程詞,家族詞,朋友詞,女性詞,男性詞,認知歷程詞,洞察詞,因果詞,差距詞,暫訂詞,確切詞,差異詞,感知歷程詞,視覺詞,聽覺詞,感覺詞,生理歷程詞,身體詞,健康詞,性詞,攝食詞,相對詞,聯繫詞,成就詞,權力詞,酬賞詞,風險詞,時態標定詞,聚焦過去詞,聚焦現在詞,聚焦未來詞,持續或完成式,相對詞,移動詞,空間詞,時間詞,工作詞,休閒詞,家庭詞,金錢詞,宗教詞,死亡詞,非正式詞,髒話,網路用詞,應和詞,停頓贅詞,填充贅詞
文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,文章_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_,留言_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
