,推數,噓數,→數,content_function,content_pronoun,content_ppron,content_i,content_we,content_you,content_shehe,content_they,content_youpl,content_ipron,content_prep,content_auxverb,content_adverb,content_conj,content_negate,content_quanunit,content_prepend,content_specart,content_particle,content_modal_pa,content_general_pa,content_compare,content_interrog,content_number,content_quant,content_affect,content_posemo,content_negemo,content_anx,content_anger,content_sad,content_social,content_family,content_friend,content_female,content_male,content_cogproc,content_insight,content_cause,content_discrep,content_tentat,content_certain,content_differ,content_percept,content_see,content_hear,content_feel,content_bio,content_body,content_health,content_sexual,content_ingest,content_drives,content_affiliation,content_achieve,content_power,content_reward,content_risk,content_tensem,content_focuspast,content_focuspresent,content_focusfuture,content_progm,content_relativ,content_motion,content_space,content_time,content_work,content_leisure,content_home,content_money,content_relig,content_death,content_informal,content_swear,content_netspeak,content_assent,content_nonflu,content_filler,message_function,message_pronoun,message_ppron,message_i,message_we,message_you,message_shehe,message_they,message_youpl,message_ipron,message_prep,message_auxverb,message_adverb,message_conj,message_negate,message_quanunit,message_prepend,message_specart,message_particle,message_modal_pa,message_general_pa,message_compare,message_interrog,message_number,message_quant,message_affect,message_posemo,message_negemo,message_anx,message_anger,message_sad,message_social,message_family,message_friend,message_female,message_male,message_cogproc,message_insight,message_cause,message_discrep,message_tentat,message_certain,message_differ,message_percept,message_see,message_hear,message_feel,message_bio,message_body,message_health,message_sexual,message_ingest,message_drives,message_affiliation,message_achieve,message_power,message_reward,message_risk,message_tensem,message_focuspast,message_focuspresent,message_focusfuture,message_progm,message_relativ,message_motion,message_space,message_time,message_work,message_leisure,message_home,message_money,message_relig,message_death,message_informal,message_swear,message_netspeak,message_assent,message_nonflu,message_filler,星期,年,月,日,美元／新台幣,收市大盤,隔日收市大盤,隔日收市大盤漲跌
0,6789,1162,5615,27604,1131,608,281,57,133,113,20,4,523,3487,3105,5900,1735,1668,6343,2451,1097,2123,303,1820,2752,509,1516,2433,3682,1730,1577,169,192,227,2437,55,79,31,33,6819,1567,770,1745,1015,842,1588,1939,762,437,518,1744,1170,185,109,383,5262,509,900,3399,617,431,3274,720,1184,1063,434,15044,3895,7140,6516,2967,431,260,2994,598,75,2932,69,1147,1187,214,527,84483,5065,2783,1131,97,1104,341,52,58,2282,7894,11815,23445,3013,8116,12787,4659,3509,10744,4256,6488,8071,2717,4397,6102,15729,6902,7632,559,1214,700,7882,369,111,172,273,23214,5732,1795,6113,3408,3142,5991,6254,2176,1776,1301,5223,3250,340,356,1517,13378,1100,1661,8077,2510,1472,9778,1793,2773,2643,2872,35192,9643,16026,15621,4231,1260,616,6389,1257,886,14746,788,3737,7595,2091,2550,2.0,2022.0,9.0,28.0,31.871,13466.07031,13534.25977,68.18946000000142
1,2702,497,2523,14168,465,186,63,9,35,74,5,0,279,1915,1579,3037,926,764,3242,1178,650,1112,120,992,1436,230,818,1192,1761,837,704,87,74,79,1249,29,62,10,19,3600,896,408,901,579,421,783,937,358,168,268,799,504,89,54,223,2725,248,553,1738,294,242,1697,374,637,540,245,7964,2086,3761,3384,1651,227,126,1315,358,19,1377,24,453,684,87,275,40189,2325,1193,407,29,516,184,47,10,1132,3787,5850,11287,1592,3822,6137,2165,1720,4646,1741,2905,4033,1179,2177,2955,7078,3168,3324,209,473,314,3887,125,107,57,58,11396,2567,879,3062,1787,1573,3043,2595,828,666,689,2222,1296,203,171,652,6637,663,1014,3917,1155,700,4037,708,1103,1273,1124,16184,4554,7347,7119,2632,521,361,3328,664,276,6281,279,1347,3183,934,1389,6.0,2022.0,10.0,2.0,31.743,13424.58008,13300.48047,-124.0996099999993
2,633,100,600,2876,99,48,22,2,16,7,0,1,51,377,344,627,165,172,715,219,98,209,24,185,278,34,170,234,412,176,187,7,15,27,291,5,13,0,7,760,200,91,182,105,84,166,223,108,46,53,208,152,13,10,43,632,53,143,393,64,55,327,74,118,100,58,1538,370,710,666,393,73,25,295,72,5,344,5,174,147,8,41,9382,494,252,65,3,134,44,5,1,242,1009,1501,2708,381,1054,1254,405,386,1062,384,678,870,247,557,631,1731,737,894,42,111,79,840,41,14,11,31,2875,602,193,859,429,339,773,712,286,165,198,743,336,43,42,342,1349,95,222,812,253,146,923,145,229,292,296,3378,935,1472,1571,461,103,62,680,95,72,1653,79,336,779,267,379,1.0,2022.0,9.0,27.0,31.78,13826.58984,13466.07031,-360.5195300000014
3,5204,764,3498,12506,331,136,39,13,24,46,10,4,195,1554,1276,2455,833,603,3440,1138,495,906,77,829,1228,136,788,1132,1677,937,575,51,63,98,1140,27,50,8,26,3062,852,349,764,401,350,578,857,358,155,226,880,632,82,51,150,2633,235,533,1667,333,208,1655,427,546,542,210,7619,1799,3531,3476,1655,211,63,1449,293,31,1435,14,739,492,73,216,54553,3098,1671,733,40,586,239,24,49,1427,4744,7320,15313,1733,5083,8741,3038,2227,7273,2900,4373,5134,1877,2887,4437,10578,5012,4881,272,750,502,4897,249,90,89,185,15645,4268,1268,3924,2217,1976,3762,4496,1770,1095,781,3393,2182,335,237,795,9248,727,1333,5302,1749,1230,6984,1203,1932,1889,2195,23994,6517,11136,10567,2564,779,373,3507,803,533,9751,497,2466,5286,1303,1514,2.0,2022.0,10.0,5.0,31.568,13801.42969,13892.04981,90.62011999999959
4,5802,848,4323,19258,699,254,97,15,39,90,11,2,445,2454,2266,3969,1290,1005,4663,1629,764,1393,177,1216,1914,264,1141,1650,2414,1176,972,135,86,122,1930,57,59,5,34,4923,1167,626,1235,730,563,1062,1283,456,307,379,1312,848,147,70,339,3937,376,741,2467,503,399,2166,499,794,671,309,10900,2783,4997,4773,2395,335,161,2187,529,35,2130,27,1057,805,104,327,64147,3580,1982,870,49,730,248,35,50,1598,5765,8905,18217,2297,6211,9622,3519,2809,8231,3184,5047,6073,2037,3399,4666,11689,5110,5650,392,827,551,5599,304,116,92,215,18153,4595,1528,4684,2641,2250,4708,5142,1974,1196,978,4334,2475,359,269,1481,10118,780,1333,5969,1813,1317,7679,1103,2120,2275,2427,27404,7685,12419,11848,3110,872,484,4557,957,607,11479,552,3095,5728,1582,1898,0.0,2022.0,10.0,3.0,31.868,13300.48047,13576.51953,276.03905999999915
5,6249,1013,4647,21200,631,272,104,20,42,91,14,1,359,2572,2503,4447,1334,1284,5175,1808,789,1684,205,1479,2105,363,1263,1850,2912,1379,1218,110,158,149,1827,36,69,3,41,5561,1342,636,1461,816,628,1205,1495,561,335,465,1450,972,122,64,373,4331,355,834,2744,571,417,2566,581,966,726,404,12075,3148,5697,5149,2287,364,146,2173,401,80,2652,78,1214,1083,124,386,69244,4323,2379,979,57,931,323,45,44,1944,6251,9636,18888,2489,6486,10996,3668,2677,9138,3722,5416,6566,2182,3734,5050,12959,5771,6131,506,896,570,6621,278,109,107,221,19258,4921,1422,5040,2883,2580,4744,5059,1764,1305,1206,4693,2779,359,359,1380,11273,952,1465,6679,2063,1281,8523,1458,2471,2301,2629,29427,7888,13386,13328,3530,1015,507,4880,1198,682,12678,629,3491,6368,1746,2167,3.0,2022.0,9.0,29.0,31.847,13534.25977,13424.58008,-109.67969000000085
6,4883,731,3519,13461,344,126,41,8,12,55,10,0,218,1718,1462,2786,923,705,3491,1195,513,950,100,850,1284,209,777,1269,1837,1032,657,63,66,92,1142,29,61,8,21,3408,877,367,922,600,331,693,985,368,139,274,957,601,157,42,255,2965,294,567,1885,381,221,1504,365,511,496,207,8108,2015,3823,3377,1747,282,120,1663,312,43,1511,19,759,541,70,210,53131,2985,1613,655,49,622,211,33,43,1372,4956,7446,14855,1968,4947,8165,2775,2078,6936,2688,4248,4945,1803,2907,4357,10175,4593,4778,318,745,481,4726,211,102,105,164,15016,3743,1195,4044,2335,1923,3652,4150,1346,1063,930,3293,1889,298,254,1026,8665,746,1235,5174,1537,926,6479,1178,1806,1629,2115,23131,6081,10821,10204,2512,749,445,3440,758,520,9523,463,2427,4907,1273,1587,3.0,2022.0,10.0,6.0,31.53,13892.04981,13702.28027,-189.76954000000114
7,4814,602,3426,10981,368,170,59,17,44,43,4,3,198,1354,1140,2260,701,598,2921,946,392,789,80,709,1097,162,698,1163,1619,877,616,51,53,76,1102,19,25,6,17,2703,697,302,662,405,299,590,750,327,183,178,756,504,93,32,174,2291,276,479,1352,352,162,1447,344,547,447,161,6732,1729,3036,2916,1482,195,82,1426,250,33,1367,19,774,450,41,140,52189,2873,1559,648,38,599,220,26,28,1314,4561,7142,14412,1920,4915,8491,2862,2021,6888,2701,4187,4886,1738,2998,4208,9855,4562,4574,266,643,448,4735,318,73,69,276,14429,3620,1136,3879,2101,1866,3577,4213,1431,1073,826,3312,2057,268,278,884,8328,823,1167,4869,1539,855,6809,1120,2013,1878,2007,23945,6523,10593,11007,2545,736,381,3762,796,455,9556,455,2737,4709,1225,1596,1.0,2022.0,10.0,4.0,31.748,13576.51953,13801.42969,224.91016000000127
